cartodb_id,the_geom,test,safield006,safield005,safield004,safield003
206,0101000020E6100000904AE7EFA2046140E86A4D8462E94140,10,瓜生野町19,屋外,バス旋回場,全災害時
207,0101000020E6100000FD79D244DD05614033106FB1A3EE4140,10,中平吹町82-102,屋外,生活改善センター,全災害時
208,0101000020E6100000DAFB07AE77056140D1AEF58904EE4140,10,中平吹町14-43,屋外,10班公園,全災害時
209,0101000020E6100000D837A3DE990561409414403DD5ED4140,10,中平吹町43-20,屋外,11班公園,全災害時
210,0101000020E6100000F4C3D4418C0561404C041C1410EE4140,10,中平吹町19-26,屋外,12班公園,全災害時
211,0101000020E61000007E4AC4AC59056140A2BEA19992EF4140,10,四郎丸町48字18-1,屋外,ゲンキー王子保店駐車場,全災害時
212,0101000020E6100000345FFF5CE7046140F324B77DD6EF4140,10,向陽町88,屋内,向陽会館,全災害時
213,0101000020E610000071C121BCD80561408358AB78FDF14140,1,矢放町,屋内・屋外,矢放町構造改善センター,不明
214,0101000020E6100000722F8AD5C90561402A06D03382F14140,1,,屋外,柿谷商店駐車場,不明
215,0101000020E610000056C745FA07066140709679F0DAF14140,1,,屋外,北日野ミニ体育館駐車場,不明
216,0101000020E610000075B4ECC1AF05614066D023A6C5F24140,10,帆山町11-13-1,屋内,帆山農家高齢者創作館,全災害時
217,0101000020E61000005DD0BF35B0056140629F8D95B9F24140,10,帆山町5-31-1,屋内,旧芦山荘,全災害時
218,0101000020E61000007D5F52DAA005614080C74726D7F14140,8,矢船町8-1,屋内,矢船町コミュニティセンター前,風水害時
219,0101000020E6100000A44E02508F056140626A74EA68F04140,10,向新保町30-22,屋外,向新保町集落センター,全災害時
220,0101000020E6100000CFE6AC85B2056140487CD5556BF04140,10,畑町17,屋内・屋外,畑町集落センター,全災害時
221,0101000020E610000041136D7AE40561405FBC48C3CCF04140,10,小野谷町33-32,屋外,小野谷町コミュニティセンター前広場,全災害時
222,0101000020E610000041136D7AE40561405FBC48C3CCF04140,10,小野谷町33-32,屋内,小野谷町コミュニティセンター,全災害時
223,0101000020E610000016EEA2A11B066140294955F788F04140,10,西谷町16,屋外,西谷町公民館広場,全災害時
224,0101000020E6100000016AA53756066140A91497BA42F14140,10,平林町13-5-5,屋内・屋外,平林町公民館,全災害時
225,0101000020E61000005E08EEC1170661400C3E4877DBF14140,10,小野谷町,屋内・屋外,北日野小学校,全災害時
226,0101000020E61000008ADB845A56066140CE4E86B98EF14140,10,庄田町7-1,屋内,庄田町生活改善センター,全災害時
227,0101000020E6100000377D926A58066140486A5A377CF14140,10,庄田町14-47,屋外,庄田町日野神社,全災害時
228,0101000020E6100000394C6F17B40661401B5EC45BD4F14140,10,大手町8,屋外,大手町公民館,全災害時
229,0101000020E6100000F06DF001E6066140EAAF180A3CF24140,10,西尾町41-56,屋外,西尾町生活改善センター前広場,全災害時
230,0101000020E610000021BBA6EC790661409320612844F24140,10,岩内町18,屋内・屋外,岩内公民館前公園,全災害時
231,0101000020E6100000B60904D7110661407147B721D1F24140,8,大屋町28-1,屋内,大屋町公民館,風水害時
232,0101000020E6100000B60904D7110661407147B721D1F24140,10,大屋町28-1,屋外,大屋町公民館前駐車場,全災害時
233,0101000020E61000007673135B15066140014249B281F34140,10,葛岡町2,屋内,葛岡町集会場,全災害時
234,0101000020E61000001EA6D760FD056140B733DEC37CF14140,10,問屋団地内,屋外・屋内,組合会館及び団地内各社屋,全災害時
235,0101000020E6100000CDB57DBBDA056140F394C6E882F14140,8,矢放町12-9-3,屋外,市営住宅２号館南公園,風水害時
236,0101000020E61000003138B514B5066140736A05F9FCF44140,10,北町47-6,屋内・屋外,北新庄小学校,全災害時
237,0101000020E610000080F9CDA2B0066140EFD8EFE272F44140,10,北町43-28,屋内・屋外,北町公民館,全災害時
238,0101000020E6100000C6AFC5A68606614072AD632649F44140,10,北町26-14,屋外,JA越前たけふ農協旧北新庄支店,全災害時
239,0101000020E6100000B55B2309FD0661403595BFB84FF44140,10,北町89-10,屋内・屋外,福井県立武生東高等学校,全災害時
240,0101000020E6100000D648ABFDC0066140EC666E39D3F44140,10,北町,屋内・屋外,北新庄公民館,全災害時
241,0101000020E6100000200A2FE97D066140B373CF6F5FF34140,8,杉崎町,屋外,杉崎神社社務所前,風水害時
242,0101000020E61000000E9A26CFBE0661406F7DF8AE85F34140,10,真柄町16,屋内・屋外,真柄町生活改善センター,全災害時
243,0101000020E6100000A47D43400A076140DBE8614548F54140,8,戸谷町76-28,屋内,戸谷町公民館,風水害時
244,0101000020E610000063059D62F4066140000A6C080BF64140,8,長尾町63-6,屋内,長尾町公民館,風水害時
245,0101000020E610000009131743BD066140EB3F6314FCF44140,8,北町47-6,屋内,北新庄小学校体育館,風水害時
246,0101000020E61000007539CFA90E07614028DEF24FAAF54140,10,戸谷町87-1,屋内,テクニカフクイ社屋,全災害時
247,0101000020E6100000818D6B63CE066140B8C8573761F64140,8,中新庄町58-26,屋内,賀茂会館,風水害時
248,0101000020E6100000CE2570F067066140F15AEC377EF54140,10,三ツ屋町26,屋内,三ツ屋町公民館,全災害時
249,0101000020E61000006ABCC8FB0B0961406C5B38A8ECF04140,8,入谷町5-26,屋内,入谷町集落センター,風水害時
250,0101000020E6100000E44EB2D1FE076140E03012F93FF14140,10,桧尾谷町6,屋内,桧尾谷町公民館,全災害時
251,0101000020E6100000BA3BF062FF0761409A41E9D73CF14140,10,桧尾谷町6,屋外,桧尾谷町公民館広場,全災害時
252,0101000020E61000003F0AF27AD007614031B1C7D580F14140,8,余川町38-1-1,屋内,余川生活改善センター,風水害時
253,0101000020E610000062B7BAF47307614026D98DE8F0F14140,10,池泉町9,屋外,味真野小学校グラウンド,全災害時
254,0101000020E61000006AFDBEAD680761402715D07E9EF14140,10,池泉町5-10-1,屋内・屋外,池泉町生活改善センター,全災害時
255,0101000020E6100000367D4C5D86076140AE1B26E784F14140,10,池泉町21,屋外,味真野神社境内,全災害時
256,0101000020E610000013B172018B0761405062714E8CF14140,10,池泉町20,屋外,越前の里　お祭り広場,全災害時
257,0101000020E61000009C398F8785076140E9BA5A326AF04140,10,文室町,屋外,大豊化学前,全災害時
258,0101000020E6100000F3D1B8135F07614067FDD95C02F04140,10,萱谷町21-27,屋内・屋外,萱谷町生活改善センター,全災害時
259,0101000020E61000001ED12DF163076140465D2E569AF04140,10,,,若越みどりの村,全災害時
260,0101000020E6100000B4A4325048076140FD33C5FEACF04140,10,上大坪町35-1-1,屋内,福井県立南越特別支援学校,全災害時
261,0101000020E6100000F782057F42076140AC6B91219EF14140,10,味真野町8-12,屋外,味真野町公民館前広場,全災害時
262,0101000020E61000001E3254E69E0761402A7EE61975F24140,8,南小山町5-18,屋内,小山町生活改善センター,風水害時
263,0101000020E6100000FE45AA1C9F076140C26C399D78F24140,10,南小山町5-18,屋内・屋外,小山町生活改善センター前,全災害時
264,0101000020E6100000FF190EBBA40761405C57652A9AF24140,10,北小山町1-26,屋内,北小山町公民館,全災害時
265,0101000020E6100000AD98A35B4407614035C9841489F24140,8,若宮町,屋内,若宮神社集会所,風水害時
266,0101000020E6100000AD98A35B4407614035C9841489F24140,10,若宮町,屋外,若宮神社境内,全災害時
267,0101000020E6100000921BC5A95B0761407354FCAA38F24140,10,五分市町4-1,屋内,五分市町コミュニティセンター,全災害時
268,0101000020E61000007CCD834D4A076140F44F937218F24140,10,五分市町3-6-1,屋外,二葉保育園園庭,全災害時
269,0101000020E61000003378125A2F076140926EA948A2F24140,8,上真柄町44-2,屋内,上真柄町ふれあい会館,風水害時
270,0101000020E61000005423A3792A076140DDF753061EF34140,8,上真柄町（徳間）,屋内,徳間町公民館,風水害時
271,0101000020E6100000AA0C02992A07614010C568EE21F34140,10,上真柄町（徳間）,屋外,徳間町公民館前,全災害時
272,0101000020E6100000181660CF280761408371C10F05F24140,10,宮谷町1-9-1,屋内・屋外,宮谷町公民館,全災害時
273,0101000020E610000080FC1852280761404F7DCD4C32F14140,8,宮谷町61,屋内,奥宮谷生活改善センター,風水害時
274,0101000020E61000000B42577217076140647A73F100F24140,8,宮谷町（味真野団地）,屋内,ふれあい会館,風水害時
275,0101000020E610000029B93A62BA0161402A6CA303AAF14140,10,都辺町15-4,屋外,白山小学校グラウンド,全災害時
276,0101000020E610000021D73B62BA0161405682581DAAF14140,10,都辺町15-4,屋外,白山小学校グラウンド,全災害時
277,0101000020E6100000A9B704F97B01614048700B7A55F14140,10,二階堂町,屋外,白山神社下広場,全災害時
278,0101000020E6100000A6AB4951A0016140870581A71CF14140,10,堀町11-14-1,屋外,JA越前たけふ西部支店,全災害時
280,0101000020E6100000478E6E4EC60161401D6EBC5C7AF04140,10,米口町20-3,屋内・屋外,米口町集落センター,全災害時
281,0101000020E61000000218A87020026140D2A949EA78F04140,10,丸岡町31-37-4,屋内,丸岡・沓掛町ふれあい会館,全災害時
282,0101000020E6100000D97172E388016140590A6C698CEE4140,8,菅町14-2,屋外,円性寺境内,風水害時
283,0101000020E61000006A3D43AEF0016140E2F34ED899F24140,10,下黒川町,屋内,下黒川町生活改善センター,全災害時
284,0101000020E6100000A80955BD670261402BA62DCA8FF44140,10,安養寺町84-42,屋内・屋外,安養寺生活改善センター,全災害時
285,0101000020E610000057673E5980026140E0AADD91CFF44140,10,安養寺町29-7-1,屋外,安養寺公園（保育園西、東側）,全災害時
286,0101000020E6100000CEDA1C9141026140543DD62CCCF44140,10,安養寺町29-7-1,屋内・屋外,旧白山小学校分校グラウンド,全災害時
287,0101000020E61000007C05D57BD5016140936B17BB44F54140,10,曽原町1番地,屋内,曽原町生活改善センター,全災害時
288,0101000020E610000042CF8AECBA0161409BB07E80E7F34140,8,小杉町,屋内,小杉町生活改善センター（屋内・屋外）,風水害時
289,0101000020E610000042CF8AECBA0161409BB07E80E7F34140,10,小杉町,屋外,小杉町生活改善センター,全災害時
291,0101000020E6100000D9FB2F4694016140481CF2C98AF24140,10,中野町,屋外,中野集落センター,全災害時
292,0101000020E6100000AD5A965EC50161405A7F020E8BF24140,10,萩原町2-31,屋外,保全農地,全災害時
293,0101000020E61000002EC94DBBED016140F4E7F86796F44140,10,曽原町27-50,屋内・屋外,鴉ヶ平町ふれあい会館前,全災害時
294,0101000020E6100000C91F353C4C076140A3EE159EE6F44140,10,西樫尾町11-6,屋内,西樫尾公民館,全災害時
295,0101000020E610000007D24FFB4D07614001CAF99EEAF44140,10,西樫尾町11-6,屋外,西樫尾運動公園,全災害時
296,0101000020E610000022ED940886076140C2B945C1ECF44140,10,粟田部町71-3-2,屋内,うすずみ会館,全災害時
297,0101000020E610000054DD820986076140B0DC43C1ECF44140,10,粟田部町71-3-2,屋内,うすずみ会館,全災害時
298,0101000020E610000022ED940886076140C2B945C1ECF44140,10,粟田部町71-3-2,屋内,うすずみ会館,全災害時
299,0101000020E610000087CD700A860761409EFF41C1ECF44140,10,粟田部町71-3-2,屋内,うすずみ会館,全災害時
300,0101000020E6100000775E5DAB840761405603A458A9F44140,10,轟産業所有地,屋外,レンタルのツダ前空き地,全災害時
301,0101000020E6100000855A940886076140587D3FBEECF44140,10,粟田部町71-3-2,屋内,うすずみ会館,全災害時
302,0101000020E610000045E8E81FAB07614040A1B77E07F54140,10,粟田部41-12,屋内,花筐小学校体育館,全災害時
303,0101000020E610000017F4A5C0B307614056108C0177F44140,10,岩本町1-9,屋内,今立体育センター,全災害時
304,0101000020E6100000544C247E9E07614056389E818FF54140,8,粟田部町17-20,屋外,花筐公園,風水害時
305,0101000020E6100000C1B2CA799E07614070729AD88FF54140,8,粟田部町17-20,屋外,花筐公園,風水害時
306,0101000020E6100000D722C7C98F076140175ACBC771F54140,10,粟田部町22-22,屋外,島会館前広場,全災害時
307,0101000020E6100000E15A8F799E0761404A7A5CD98FF54140,10,粟田部町17-20,屋外,花筺公園,全災害時
308,0101000020E6100000A187417A9E076140CBF1D7D78FF54140,8,粟田部町17-20,屋外,花筐公園,風水害時
309,0101000020E610000081DF7C7A9E076140F2E915D78FF54140,10,粟田部町17-20,屋外,花筺公園,全災害時
310,0101000020E6100000403E3AC3B00761407C9226FDF5F44140,10,粟田部町41-12,屋外,花筺小学校グラウンド,全災害時
311,0101000020E6100000F9D7F01BAB0761403642CC6507F54140,10,粟田部町41-12,屋内,花筐小学校体育館,全災害時
312,0101000020E6100000DA5CEE1BAB076140D8C1F15807F54140,10,粟田部町41-12,屋内,花筐小学校体育館,全災害時
313,0101000020E6100000141CD1E8E20761408D41CA3BB2F54140,8,粟田部町9-1-9,屋内,ふれあいプラザ,風水害時
314,0101000020E610000000716CBDB007614011820004F6F44140,10,粟田部町41-12,屋外,花筐小学校グラウンド,全災害時
315,0101000020E610000066602D5FAD076140A8D7B33FA2F54140,10,粟田部町15-53-1,屋外,佐山姫公園,全災害時
316,0101000020E61000006F1643C8B1076140F184A7D376F54140,8,粟田部町15-34-3,屋外,福邦銀行今立支店前駐車場,風水害時
317,0101000020E610000066602D5FAD076140A8D7B33FA2F54140,10,粟田部町15-53-1,屋外,佐山姫公園,全災害時
318,0101000020E610000035C50B61AD07614097898A4CA2F54140,10,粟田部町15-53-1,屋外,佐山姫公園,全災害時
319,0101000020E6100000EB62E919A207614085E4BC0DA8F54140,10,粟田部町17-20,屋内,花筐会館,全災害時
320,0101000020E610000069617CD2A20761407548FA63A8F54140,10,粟田部町17-20,屋内,花筺公民館,全災害時
321,0101000020E6100000A701DBDAC007614065C346AA0BF44140,10,不老町66-1,屋内・屋外,不老公民館,全災害時
322,0101000020E61000002699090AFB076140888E255A13F44140,10,大滝町11-11,屋外,越前和紙組合跡地,全災害時
323,0101000020E6100000C57D7F33E107614001C0722D4EF44140,8,岩本町10-49-1,屋外,岩本公民館,風水害時
324,0101000020E6100000B396F0BCB30761408DA3AC0D77F44140,10,若本町1-9,屋内・屋外,今立体育センター,全災害時
325,0101000020E6100000AE041F4CD70761406E08142D47F44140,1,若本町5-26,屋外,岡本保育所,不明
326,0101000020E61000003A8CD526C9076140D6EF74B1A7F44140,10,新在家町8-44,屋内,パピルス館（越前和紙の里体験工房）,全災害時
327,0101000020E6100000D7713FBACE0761402E30EE779EF44140,10,新在家町8-44,屋外,パピルス館駐車場,全災害時
328,0101000020E610000069407E7BD5076140965CC5B00EF54140,10,定友町10-15,屋外,岡本小学校グラウンド,全災害時
329,0101000020E6100000DFDC80F3DF07614070D184F6AFF54140,10,粟田部町9-1-9,屋外,ふれあいプラザ駐車場,全災害時
330,0101000020E61000004600DC7560086140C0F6621538F54140,10,杉尾町18-63-1,屋内,杉尾集落センター,全災害時
331,0101000020E6100000F2CAD84718086140EC542F92BDF54140,8,杉尾町1-27-1,屋内,社会福祉センター,風水害時
332,0101000020E6100000386B8849680861403AAEDE2473F54140,10,杉尾町24,屋外,山村広場（駐車場）,全災害時
333,0101000020E6100000191C6C78A308614029336CF6D0F44140,8,轟井町31-2,屋内,南林寺,風水害時
334,0101000020E6100000E51AD6BA7C086140B8289BA1BFF44140,10,轟井町21-29-1,屋内・屋外,月尾サブセンター,全災害時
335,0101000020E6100000191C6C78A308614029336CF6D0F44140,10,轟井町31-2,屋内,南林寺,全災害時
336,0101000020E61000004F6FDBBA7C086140C2978EBABFF44140,10,轟井町21-29-1,屋内,月尾サブセンター,全災害時
337,0101000020E6100000F054E0F8E808614015ACA62187F34140,10,八石町2-42,屋内・屋外,八石集落センター,全災害時
338,0101000020E610000092A71529BD086140225E61FA2DF44140,10,大平町21-1,屋内,大平公民館,全災害時
339,0101000020E6100000300BE3F8E80861407F9CBF2D87F34140,10,八石町2-42,屋内,八石集落センター,全災害時
340,0101000020E6100000F054E0F8E808614015ACA62187F34140,10,八石町2-42,屋内,八石集落センター,全災害時
341,0101000020E610000018EC4F52EA0861406074E4B37FF34140,10,八石町10-9-3,屋外,旧八石分校校庭,全災害時
342,0101000020E61000005953C4B2DD0861406721DE4ACDF24140,10,中印町37-23,屋内・屋外,本竜寺（境内）,全災害時
343,0101000020E6100000F054E0F8E808614015ACA62187F34140,10,八石町2-42,屋内・屋外,八石集落センター,全災害時
344,0101000020E610000047A084CB12096140FDDE0EC415F34140,10,別印町3-41,屋外,教徳寺（境内）,全災害時
345,0101000020E6100000F46367461309614075C7CCB615F34140,10,別印町3-41,屋内,教徳寺,全災害時
346,0101000020E610000035012A6E4A0961405430A967A9F24140,10,南坂下町22-28,屋外,白山神社境内,全災害時
347,0101000020E6100000D091AEDE46096140E74CD7C1C0F24140,10,南坂下町23-5,屋外,端政寺境内,全災害時
348,0101000020E6100000BC0D1AFCED076140B91D0DD17CF64140,10,野岡町25-9-14,屋内,野岡公民館,全災害時
349,0101000020E6100000A19A42C8DA0761402E59570646F64140,10,野岡町5-16,屋内,願教寺,全災害時
350,0101000020E6100000F1403AA0F8076140D90B4B9092F64140,10,野岡町28-4,屋内,南越中学校体育館,全災害時
351,0101000020E61000001B420D8C4B08614043CF770D2FF64140,8,山室町49-31-1,屋内,山室集落センター,風水害時
352,0101000020E610000045A04EEE21086140409A3D60EAF64140,10,野岡町62-1-3,屋外,集会広場,全災害時
353,0101000020E6100000C6049C28F1076140975A54BEEDF64140,10,西庄境町21-7-1,屋内,今立勤労青少年ホーム,全災害時
354,0101000020E6100000DFBA97B0EF076140FCEA40FFB6F74140,8,西庄境町10-18,屋外,明光寺境内,風水害時
355,0101000020E61000001C261D34D107614008CAC65351F84140,10,赤坂町47-3,屋内・屋外,赤坂集落センター,全災害時
356,0101000020E61000007AE83ADE9C0761409D6A1AF082F84140,10,新堂町12-22-2,屋内,新堂集落センター,全災害時
357,0101000020E6100000E49132667A0761403D3DAC18CAF74140,8,国中町19-1,屋内,国中集落センター,風水害時
358,0101000020E6100000581A2B3FA407614025BD3C4408F74140,8,中津山町64-1-1,屋内,中津山町公民館,風水害時
359,0101000020E610000063674230F1076140B4B150A5EDF64140,8,西庄境町21-7-1,屋内,今立勤労青少年ホーム,風水害時
360,0101000020E610000065533A8F570861402B99DB01BDF74140,10,朽飯町17-16-1,屋内,朽飯集落センター,全災害時
361,0101000020E6100000E3F2452D6A086140BA26E0ECD7F74140,10,高岡町2-1,屋外,高岡公民館,全災害時
362,0101000020E61000008134332D7B0861406B1ED45EB0F74140,10,藤木町12-11,屋外,服間小学校グラウンド,全災害時
363,0101000020E6100000647E98AA8B08614011D7C19AA1F74140,10,藤木町8-8,屋内,藤木公民館,全災害時
364,0101000020E6100000E9333B33BE086140A4308E64CDF74140,10,領家町,屋外,公園,全災害時
365,0101000020E6100000DC93E642B6086140E0A87BA317F84140,10,領家町3-14-1,屋外,吉田昴氏宅北側広場,全災害時
366,0101000020E6100000DA3D2211F10861403A1BADEDB0F74140,10,春山町地係,屋外,運動広場,全災害時
367,0101000020E610000071A4A7AAFF0861408C801B6D02F84140,10,東樫尾町15,屋内,東樫尾集落センター,全災害時
368,0101000020E610000023D4C6FE08096140FECFAC2710F84140,8,東樫尾町,屋外,神明神社公園,風水害時
369,0101000020E6100000902BBA301309614081206D1FA3F74140,10,波垣町13,屋外,波垣公民館,全災害時
370,0101000020E6100000AEFFA90512096140568EF72C95F74140,8,波垣町13,屋外,波垣八幡神社境内,風水害時
371,0101000020E61000005F8BCF9A500961403B18DE51E1F74140,10,寺地町19,屋外,寺地公民館,全災害時
372,0101000020E6100000A9E195D4A20961406193BF43C9F74140,10,横住町40-6-2,屋内,横住開発センター,全災害時
373,0101000020E6100000E96B331598096140296722AF2DF84140,10,横住町17-29,屋内,もやいの郷・農楽園,全災害時
374,0101000020E6100000B27AA406EB09614087A80F6F6EF74140,10,相木町15-5,屋内,相木集落改善センター,全災害時
375,0101000020E61000000F8AEE2D210A6140AD6A9A90EEF64140,10,西河内町23-3,屋内,西河内集落センター,全災害時
376,0101000020E610000089D5CF097E086140BE410AA4D1F64140,8,室谷町50-67,屋内,室谷町集落センター,風水害時
377,0101000020E6100000B4B21712AD0861407AE1735D35F64140,8,長谷町24-1,屋内,長谷公民館,風水害時
378,0101000020E6100000AAA74E9D9F086140A9B225F9F4F54140,10,北坂下町7,屋内,北坂下・殿集落センター,全災害時
379,0101000020E6100000AAA74E9D9F086140A9B225F9F4F54140,10,北坂下町7,屋内・屋外,北坂下・殿集落センター,全災害時
380,0101000020E610000092F731DADE086140EC036DC190F54140,10,大谷町5-15,屋内・屋外,大谷集落センター,全災害時
381,0101000020E6100000BCC95348A3086140103960321BF64140,10,北坂下町,屋外,小次郎公園駐車場,全災害時
382,0101000020E6100000CA51FBD0E70861402BEA8F81D7F54140,10,南中町6-44,屋内・屋外,南中集落センター,全災害時
383,0101000020E610000043DCBCAA2F09614069334BE7B7F54140,10,赤谷町,屋内・屋外,赤谷公民館,全災害時
384,0101000020E6100000A4ECC71726096140C9E8A7B2D2F44140,8,水間町6-26,屋内,水間町公民館,風水害時
385,0101000020E6100000422AE1351D096140EC03203E05F54140,10,水間町,屋外,グラウンド,全災害時
386,0101000020E61000002A21673341096140D0C137A095F44140,8,柳元町6-20,屋内,柳元町集落センター,風水害時
387,0101000020E610000069F931465009614068ABCFD231F44140,8,市野々町6-25,屋内,市野々公民館,風水害時
388,0101000020E6100000CFA834F70606614013EC70FF29F44140,10,"押田二丁目１?１５

",屋外,アスピカホール国高　駐車場,全災害時
389,0101000020E61000001147B30703066140B5DBBB61A2EE4140,5,中平吹町80-1-1,屋外,日野神社境内,全災害時（土砂災害危険区域内）
390,0101000020E61000007E8B90F9CA0561406B60D0A00FEF4140,5,下平吹町21-39,屋内・屋外,下平吹町生活改善センター,全災害時（土砂災害危険区域内）
391,0101000020E61000006791B14F6F066140FAD7DB4A1AF04140,5,荒谷町10,屋外,荒谷町公民館,全災害時（土砂災害危険区域内）
392,0101000020E6100000880BBF5EF50761403283CEB3BFEF4140,5,文室町,屋内,文室集落センター前,全災害時（土砂災害危険区域内）
393,0101000020E610000004642177F4076140EE86038EB9EF4140,5,文室町,屋外,文室集落センター駐車場,全災害時（土砂災害危険区域内）
394,0101000020E61000009106639196076140C6FE67E36FF14140,5,余川町55-1,屋外,越前の里駐車場,全災害時（土砂災害危険区域内）
395,0101000020E6100000495462C0AE07614046F4178D7AF24140,5,余川町3-3-24,屋外,余川公園,全災害時（土砂災害危険区域内）
396,0101000020E61000001B3CD7E54D086140F8FD91EA3AF14140,5,蓑脇町12-43,屋内・屋外,蓑脇ふれあい会館前,全災害時（土砂災害危険区域内）
397,0101000020E61000006ABCC8FB0B0961406C5B38A8ECF04140,5,入谷町5-26,屋外,入谷町集落センター駐車場,全災害時（土砂災害危険区域内）
398,0101000020E6100000DDB987A115096140873D31A272F04140,5,入谷町33-7,屋外,鵜甘神社境内,全災害時（土砂災害危険区域内）
399,0101000020E6100000393A0BACC1086140DDAB126E36F14140,5,中居町19-15,屋内,中居町ふれあい会館,風水害時（土砂災害危険区域内）
400,0101000020E6100000FF5EBA4AB00161404323BBAE97F44140,5,粟野町地係,屋外,粟野町集会所前（旧粟野冬季分校）,全災害時（土砂災害危険区域内）
401,0101000020E6100000970D307097016140DC8F1B233DF34140,5,牧町地係,屋外,神社ポール付近,全災害時（土砂災害危険区域内）
402,0101000020E61000004634E1382D01614045B766ADCCF14140,5,千合谷町31-63,屋外,千合谷町ふれあい会館前広場,全災害時（土砂災害危険区域内）
403,0101000020E610000063E192549101614067FF7590DCF04140,5,菖蒲谷町10,屋外,菖蒲谷町集落センター,全災害時（土砂災害危険区域内）
404,0101000020E6100000246CA90CAA016140DD138A3127F14140,5,堀町15,屋内,堀町ふれあい会館,全災害時（土砂災害危険区域内）
405,0101000020E6100000310009E3710161401E2BD201D1EF4140,5,安戸町,屋外,旧土山小谷バス停留所,全災害時（土砂災害危険区域内）
406,0101000020E6100000861507D275016140A29414770FF04140,5,土山町5-3,屋内,願成寺,風水害時（土砂災害危険区域内）
407,0101000020E61000002E6BAF2D4B026140DDE575F9A6F04140,5,丸岡町49-2,屋内・屋外,沓掛町公民館,全災害時（土砂災害危険区域内）
408,0101000020E6100000EC12D12622026140C564D1D1CCF14140,5,上黒川町55-38,屋内,上黒川町改善センター,風水害時（土砂災害危険区域内）
409,0101000020E6100000A4A63291B1026140492E6AB560EE4140,5,勾当原町9-16,屋内・屋外,勾当原町ふれあい会館,全災害時（土砂災害危険区域内）
410,0101000020E6100000826F906E9A0261400B1A14F6AEED4140,5,湯谷町29-8-1,屋内・屋外,湯谷町ふれあい会館,全災害時（土砂災害危険区域内）
411,0101000020E61000005D566756DD026140158BFA5710ED4140,5,下別所町,屋内,下別所町公民館,全災害時（土砂災害危険区域内）
412,0101000020E6100000D27FE2A70B0361401785783DBBED4140,5,下中津原町54-13,屋内,下中津原構造改善センター,全災害時（土砂災害危険区域内）
413,0101000020E61000002F94479075036140F37D11018FED4140,5,中津原町73-31,屋外,中津原町公民館,全災害時（土砂災害危険区域内）
